city,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-01
上海市,100.0,114.69,117.94,122.5,126.76,133.55,140.44,140.15,151.47,176.46,175.98,172.49,172.79,173.57,172.93,176.8,175.36,173.47,182.23,184.01,182.77,185.42,190.21,195.72,196.17,196.59,201.86,207.01,225.24,237.83,247.03,244.34,246.42,254.39,255.84,259.81,269.93
东莞市,,,,,100.0,98.81,108.09,116.41,132.39,144.42,151.24,142.79,144.42,152.09,157.0,163.93,171.88,178.76,177.57,223.35,233.36,205.28,236.35,196.35,210.78,210.19,196.65,205.01,227.47,272.95,257.62,262.32,289.13,281.36,327.04,349.67,349.31
临沂市,,,,,,,,,100.0,104.44,110.05,123.77,127.21,128.64,128.02,125.23,140.66,132.05,150.8,166.93,146.92,182.14,160.5,157.04,158.1,163.71,162.84,165.2,163.21,157.76,166.04,192.43,184.68,185.27,210.29,222.07,216.26
乌鲁木齐市,,,,,,,,,100.0,96.19,107.39,113.59,128.14,120.26,117.41,121.5,131.52,162.83,157.87,152.7,167.49,147.79,169.22,139.26,140.86,135.63,165.33,149.18,142.56,131.27,151.21,153.56,148.74,142.66,157.52,161.98,167.35
佛山市,,,,,100.0,110.54,141.27,131.11,131.91,162.89,165.08,169.49,174.82,159.26,177.29,167.88,169.4,183.88,189.34,184.06,199.34,143.26,168.49,175.77,174.0,165.67,153.89,158.63,164.41,162.65,183.34,185.8,190.35,226.57,236.2,253.92,249.07
兰州市,,,,,,,,,100.0,101.81,98.65,109.79,107.99,110.47,110.02,111.57,120.52,128.35,136.8,135.08,151.5,142.03,140.69,136.62,139.91,151.79,145.81,152.91,156.3,172.14,163.28,182.64,196.32,200.99,203.81,207.67,200.82
北京市,100.0,106.64,107.73,126.41,147.08,169.39,172.65,177.99,184.8,195.11,218.49,228.25,233.83,246.14,270.28,269.37,288.72,310.96,323.47,325.21,339.13,323.77,315.63,329.84,325.03,328.82,329.76,335.02,349.6,378.05,387.15,404.43,413.47,419.54,432.39,422.48,427.56
南京市,,,,,100.0,111.92,115.69,121.03,123.82,129.0,127.14,127.71,123.35,126.47,127.22,130.9,135.95,140.2,145.86,150.3,152.29,156.62,153.82,150.84,148.75,147.84,152.64,155.76,164.66,174.41,166.38,169.31,174.67,193.56,186.4,179.13,191.15
南宁市,,,,,100.0,118.28,125.53,135.58,154.73,160.37,145.09,162.22,157.74,167.85,168.95,183.8,192.8,181.39,192.05,224.57,155.94,161.67,172.5,180.85,152.96,168.85,175.3,180.31,172.09,178.06,181.76,186.6,187.33,201.19,215.61,220.41,223.42
南昌市,,,,,100.0,107.87,106.91,115.76,125.72,137.59,160.36,157.26,165.74,173.21,165.62,180.62,195.82,212.39,208.09,201.3,210.23,220.45,217.14,197.39,193.8,189.66,196.37,198.96,205.09,195.05,202.51,222.57,214.55,213.97,211.53,223.37,248.14
南通市,,,,,100.0,100.99,104.76,108.75,117.51,127.52,113.54,137.44,134.65,125.96,130.96,138.82,134.45,142.19,136.44,139.83,135.73,137.46,134.24,141.07,157.14,152.14,152.22,144.57,130.82,144.4,156.08,154.29,156.75,169.9,188.65,202.21,188.56
厦门市,,,,,100.0,117.75,118.83,126.4,134.6,147.81,159.96,164.75,153.46,168.68,171.22,175.05,186.86,198.29,209.21,215.42,220.65,229.52,233.52,207.49,203.99,214.58,221.99,224.62,232.51,242.31,308.72,280.74,323.75,279.46,293.9,286.33,316.81
合肥市,100.0,114.26,123.85,130.64,134.19,153.23,159.86,164.79,169.65,174.41,179.96,190.58,181.01,196.56,191.07,200.63,212.86,211.78,228.4,235.79,244.72,250.05,251.88,223.62,237.66,234.44,257.69,259.66,279.41,311.39,331.19,344.12,352.76,367.53,384.1,390.34,400.15
哈尔滨市,,,,,100.0,93.17,81.9,94.12,98.44,103.15,99.82,108.8,102.01,104.39,107.44,109.01,111.15,112.77,109.79,113.35,120.59,131.7,125.67,119.19,122.25,114.7,132.6,133.14,141.44,138.81,141.06,140.2,151.88,162.44,180.95,190.91,190.51
嘉兴市,,,,,100.0,97.84,107.34,112.16,115.21,115.06,122.65,124.85,117.77,124.05,128.71,136.42,134.77,133.28,132.09,140.2,141.86,147.48,126.03,109.2,133.42,142.24,136.12,130.4,129.52,139.61,148.22,154.93,158.19,181.23,197.13,194.56,204.81
大连市,,,,,100.0,116.09,114.08,120.32,133.9,131.54,138.46,133.08,142.6,128.55,133.81,138.08,154.26,146.96,150.77,154.17,154.56,154.13,146.13,152.11,139.05,139.86,141.82,143.91,142.55,147.88,146.39,148.93,154.41,164.75,168.89,179.13,182.1
天津市,,,,,100.0,111.38,124.05,129.28,140.21,138.47,134.25,150.22,137.72,146.41,152.03,154.82,151.13,161.76,157.66,183.48,208.96,170.17,173.1,171.23,180.12,199.74,180.89,179.34,190.13,204.6,199.35,213.3,221.33,222.92,271.84,289.33,339.07
太原市,,,,,100.0,110.06,112.73,112.17,120.25,130.98,131.97,140.29,151.8,159.23,139.45,140.82,146.51,147.61,169.86,173.61,197.27,198.17,205.35,194.24,194.65,193.77,203.55,199.62,185.97,189.32,205.03,213.17,210.85,209.4,223.44,219.81,230.61
