city,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
上海市,126.75,129.75,128.39,126.15,128.65,130.23,133.62,132.6,128.79,128.95,130.76,132.15,133.54,133.51,138.34,132.88,131.72,130.41,125.83,125.04,130.98,127.2,127.8,129.6,126.3,125.1,124.8,132.6,129.0,125.1,126.9,132.0,131.7,130.8,132.9,132.9,132.0,137.7,135.0,141.0,143.0,143.0,147.0,138.0,140.13,139.96,137.54,138.21,134.64,133.05,133.35
东莞市,,39.51,39.48,37.81,32.11,34.26,36.38,29.55,31.18,43.84,43.31,45.05,42.09,41.4,41.38,40.92,41.51,40.69,40.69,43.21,39.15,44.7,44.4,43.2,41.7,43.5,43.8,40.2,42.3,41.7,43.5,43.8,43.2,44.7,45.0,46.5,42.3,48.9,51.0,50.0,49.0,49.0,49.0,50.0,47.91,48.02,45.34,46.75,47.13,52.16,50.37
临沂市,20.54,22.13,24.89,24.0,23.45,23.18,25.88,21.38,24.35,21.53,24.71,30.45,29.81,27.99,27.17,27.88,27.14,28.93,29.79,29.9,27.93,30.3,32.1,27.6,26.7,29.4,30.0,30.3,27.6,29.4,29.1,30.0,26.7,30.6,33.0,32.1,32.1,32.7,31.0,34.0,32.0,30.0,33.0,29.0,30.65,33.33,35.52,29.43,34.31,33.01,32.71
乌鲁木齐市,54.71,43.79,47.9,45.99,45.31,45.67,43.83,44.41,46.82,43.51,48.67,48.31,43.41,53.71,40.6,46.98,39.72,38.6,53.54,55.12,48.81,52.8,52.5,48.3,49.2,50.4,49.2,45.6,45.9,44.7,47.7,48.9,47.1,50.7,53.1,53.4,53.1,57.3,54.0,55.0,57.0,55.0,55.0,56.0,58.64,58.74,56.57,54.79,55.15,58.23,57.75
佛山市,43.05,43.35,43.11,41.95,41.42,41.31,43.32,37.74,36.17,36.87,37.71,40.42,40.25,38.88,39.35,38.57,41.86,35.9,42.69,40.66,39.1,40.2,40.5,39.9,35.4,39.6,39.9,39.0,39.6,41.1,42.9,43.5,46.2,45.0,44.4,42.6,41.7,46.8,46.0,51.0,50.0,50.0,51.0,52.0,52.98,51.37,51.37,47.03,47.81,49.88,50.62
兰州市,47.04,50.03,47.92,47.54,45.93,49.59,49.59,42.43,41.21,38.9,52.46,54.25,51.98,49.56,51.04,53.67,52.42,48.63,51.37,55.6,54.57,56.1,63.3,68.7,63.0,63.3,60.0,63.0,59.7,61.2,60.0,60.6,64.2,66.6,68.1,66.0,67.5,64.8,66.0,67.0,66.0,70.0,71.0,70.0,69.48,70.34,67.2,69.37,72.25,63.76,0.0
北京市,191.15,189.51,184.13,187.97,190.09,196.76,190.81,189.89,189.66,189.51,191.76,191.93,197.31,195.33,189.54,189.82,189.04,187.6,186.52,187.61,188.93,185.4,183.9,187.2,190.5,184.8,187.2,186.6,182.7,177.9,184.2,187.2,183.6,184.5,185.4,179.7,185.4,189.9,186.0,195.0,193.0,194.0,196.0,192.0,195.31,190.12,191.75,193.33,193.46,197.89,191.77
南京市,77.57,77.28,76.17,76.96,78.28,80.84,77.38,80.58,81.76,81.43,79.78,81.18,78.63,78.27,81.0,77.01,76.99,81.21,82.17,82.1,82.26,82.5,82.2,80.1,80.7,80.7,80.1,80.1,81.0,78.3,81.6,82.5,81.0,82.2,81.9,81.6,81.6,83.7,83.0,83.0,84.0,82.0,83.0,84.0,80.64,81.77,81.08,83.63,81.93,83.52,81.86
南宁市,58.0,49.95,53.07,54.38,55.25,49.97,53.54,47.75,45.28,45.45,47.9,55.37,51.16,45.47,46.05,45.91,47.25,46.01,47.89,50.69,49.67,51.0,48.0,51.9,48.6,51.9,52.2,54.3,50.1,50.7,55.8,57.3,56.4,59.1,61.2,57.3,58.8,61.5,62.0,63.0,63.0,61.0,61.0,66.0,63.3,65.71,62.82,65.2,63.83,64.92,63.22
南昌市,43.63,42.72,44.49,44.4,43.54,43.23,43.66,43.81,43.39,40.07,41.83,44.04,42.76,41.15,44.24,42.3,45.11,40.76,42.5,46.39,43.63,45.0,45.6,47.7,47.1,46.2,48.0,44.1,43.8,44.1,44.4,47.4,47.1,45.3,47.4,45.6,46.2,47.7,46.0,47.0,48.0,50.0,49.0,49.0,47.59,49.59,48.18,48.21,47.89,50.38,49.41
