city,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
上海市,100.0,113.38,115.13,118.23,121.04,126.1,131.21,129.59,138.63,160.04,157.95,153.02,151.55,150.52,148.28,149.92,146.83,143.35,148.74,148.45,145.64,145.82,147.7,149.98,148.29,146.57,148.41,150.12,161.19,168.12,172.6,168.69,164.37,169.92,171.18,173.92,172.74,180.2,176.67,184.52,187.14,187.14,192.37,180.59,183.38,183.16,179.99,180.87,176.2,174.12,174.51
东莞市,,,,,100.0,97.45,105.17,112.03,126.13,136.19,141.22,131.78,131.82,137.1,140.0,144.55,149.82,154.1,151.35,188.41,194.94,169.72,193.37,158.76,168.57,166.43,154.19,158.76,174.2,207.11,193.55,195.02,191.99,183.39,192.38,200.77,182.64,211.14,220.21,215.89,211.57,211.57,211.57,215.89,206.87,207.34,195.77,201.86,203.5,225.22,217.49
临沂市,,,,,,,,,100.0,102.91,106.94,118.49,120.16,119.85,117.7,113.41,125.55,116.23,130.87,143.1,124.19,152.2,132.45,127.99,127.28,130.17,127.81,127.78,124.29,118.2,122.38,139.74,134.43,134.09,132.74,148.62,148.62,151.4,143.53,157.42,148.16,138.9,152.79,134.27,141.91,154.32,164.46,136.26,158.85,152.83,151.44
乌鲁木齐市,,,,,,,,,100.0,95.01,104.81,109.51,122.19,113.35,109.15,111.2,118.7,145.19,139.2,133.08,144.22,125.7,142.28,115.54,115.14,109.28,131.66,117.2,110.38,100.18,113.56,113.56,110.44,101.15,106.76,116.71,116.05,125.23,118.02,120.21,124.58,120.21,120.21,122.4,128.17,128.39,123.65,119.76,120.55,127.28,126.23
佛山市,,,,,100.0,109.22,138.17,126.8,126.04,154.03,154.41,156.87,160.05,144.12,158.76,148.83,148.57,159.58,162.64,156.19,167.28,118.4,137.42,141.74,138.49,130.1,119.24,121.26,124.01,121.04,134.7,134.8,130.61,133.52,147.64,147.19,144.08,161.7,158.94,176.22,172.76,172.76,176.22,179.68,183.07,177.51,177.51,162.51,165.21,172.36,174.92
兰州市,,,,,,,,,100.0,100.89,96.82,106.69,103.9,105.11,103.52,103.82,110.94,116.89,123.24,120.33,133.45,123.41,120.85,115.98,117.24,125.68,119.34,123.55,124.66,135.66,126.96,140.02,139.82,138.61,138.9,151.25,154.69,148.5,151.25,153.54,151.25,160.42,162.71,160.42,159.23,161.2,154.0,158.97,165.57,146.11,
北京市,100.0,105.32,104.91,121.54,139.91,159.06,160.25,163.4,168.15,175.45,194.14,200.28,202.59,210.37,227.64,223.58,236.35,251.13,257.94,256.2,263.95,248.57,238.91,246.12,238.99,238.14,235.23,235.37,241.97,258.08,260.75,268.88,271.13,264.64,268.19,265.47,273.89,280.54,274.78,288.08,285.13,286.61,289.56,283.65,288.54,280.87,283.28,285.61,285.8,292.34,283.3
南京市,,,,,100.0,110.9,113.6,117.7,119.23,123.0,119.98,119.26,113.94,115.54,114.92,116.9,120.08,122.46,125.98,128.4,128.6,130.74,126.91,122.84,119.49,117.05,119.13,119.84,124.96,130.67,122.88,123.29,121.65,120.67,123.65,123.87,123.87,127.06,126.0,126.0,127.52,124.48,126.0,127.52,122.42,124.14,123.09,126.96,124.38,126.79,124.27
南宁市,,,,,100.0,116.86,122.57,130.79,147.59,151.25,135.23,149.42,143.56,150.93,150.17,161.58,167.78,155.98,163.25,188.76,128.75,131.29,137.89,142.45,118.49,128.79,131.9,133.78,125.93,128.57,129.39,130.96,133.35,134.39,146.76,154.09,158.12,165.38,166.72,169.41,169.41,164.03,164.03,177.48,170.22,176.7,168.93,175.33,171.65,174.58,170.01
南昌市,,,,,100.0,106.83,104.82,112.48,121.06,131.34,151.83,147.69,154.47,160.19,151.96,164.28,176.58,189.76,184.18,176.37,182.42,189.48,184.89,166.26,161.43,156.18,159.91,160.25,163.42,153.66,157.69,171.42,175.55,163.72,171.55,171.65,173.91,179.56,173.16,176.92,180.68,188.21,184.45,184.45,179.14,186.67,181.36,181.47,180.27,189.64,185.99
