city,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
上海,27744.0,27691.0,28285.0,27220.0,27518.0,28429.0,28328.0,28686.0,27759.0,29037.0,28451.0,28952.0,28602.0,30015.0,31924.0,31498.0,32233.0,31884.0,31397.0,32570.0,34150.0,31982.0,31847.0,32069.0,32018.0,31482.0,32012.0,32389.0,32315.0,32969.0,32337.0,32519.0,32064.0,32092.0,32373.0,32700.0,33842.0,33034.0,33301.0,33719.0,33654.0,34041.0,34395.0,33846.0,34806.0,33514.0,51619.0,34209.0,34055.0,36699.0,35687.0,35885.0
东莞,10393.0,10759.0,10918.0,10476.0,10683.0,10820.0,10316.0,10026.0,9588.0,9394.0,10516.0,10639.0,10684.0,11064.0,11738.0,12892.0,14325.0,12526.0,12512.0,11822.0,12791.0,12408.0,12284.0,12711.0,13184.0,13904.0,13637.0,12471.0,13290.0,13776.0,14615.0,15179.0,15664.0,15907.0,16237.0,16029.0,15970.0,17399.0,16703.0,16859.0,16875.0,18346.0,17491.0,17030.0,18131.0,17349.0,15468.0,17967.0,17953.0,17823.0,18113.0,18165.0
临沂,5720.0,6172.0,5115.0,6205.0,5254.0,5048.0,5937.0,5281.0,5552.0,4791.0,6096.0,5639.0,5158.0,5598.0,5550.0,5434.0,5098.0,4938.0,4997.0,5465.0,5487.0,5783.0,6385.0,5919.0,5732.0,6026.0,5546.0,5733.0,5950.0,5246.0,6148.0,5915.0,6912.0,6675.0,6488.0,6881.0,6669.0,6560.0,6556.0,7043.0,6876.0,6461.0,6583.0,6593.0,7597.0,7683.0,7196.0,7918.0,8723.0,10042.0,9234.0,9734.0
乌鲁木齐,9753.0,10273.0,10061.0,10751.0,8155.0,9347.0,13342.0,9691.0,11183.0,7774.0,9780.0,8695.0,8847.0,10317.0,9019.0,9263.0,8332.0,8170.0,9290.0,10074.0,10513.0,10283.0,9752.0,9360.0,9954.0,8823.0,9456.0,8660.0,9147.0,8843.0,9082.0,10383.0,9574.0,9582.0,9913.0,9813.0,10085.0,9334.0,10520.0,10062.0,10122.0,10607.0,10291.0,10300.0,10523.0,10639.0,8364.0,11161.0,10574.0,10473.0,10168.0,10483.0
佛山,10252.0,8204.0,10132.0,8757.0,9181.0,9696.0,9557.0,8210.0,7967.0,8763.0,8817.0,8765.0,8423.0,8620.0,9100.0,8103.0,8877.0,8817.0,9187.0,9628.0,9905.0,10001.0,9600.0,9166.0,8942.0,9670.0,10117.0,10622.0,11778.0,11690.0,11752.0,11792.0,11831.0,12116.0,13117.0,12330.0,12053.0,11740.0,12270.0,12394.0,11966.0,12469.0,13499.0,13927.0,12749.0,14849.0,12798.0,13239.0,13798.0,12956.0,13404.0,12557.0
兰州,10506.0,10563.0,11401.0,11459.0,11928.0,13094.0,11822.0,11441.0,10900.0,10857.0,12008.0,11976.0,12263.0,11260.0,11506.0,13300.0,13239.0,11979.0,11793.0,11886.0,12084.0,13113.0,12785.0,13951.0,14819.0,13152.0,13925.0,14823.0,13955.0,13526.0,14424.0,14270.0,13309.0,14395.0,13684.0,14351.0,13810.0,13796.0,14488.0,15758.0,14723.0,14875.0,14721.0,15277.0,15398.0,15005.0,11489.0,16172.0,16676.0,15911.0,15915.0,15060.0
北京,38518.0,37877.0,37432.0,36755.0,37899.0,38202.0,37179.0,37242.0,37525.0,37800.0,38315.0,36164.0,37643.0,37578.0,39104.0,39948.0,40952.0,41822.0,40846.0,41616.0,41585.0,41453.0,42279.0,44122.0,44587.0,43765.0,41437.0,43615.0,42526.0,43233.0,44994.0,43851.0,42809.0,42123.0,41869.0,43329.0,43665.0,44234.0,42786.0,44734.0,42480.0,42388.0,43355.0,41760.0,41765.0,43842.0,62298.0,42624.0,40751.0,41514.0,43461.0,41570.0
南京,18024.0,17368.0,16149.0,16290.0,16438.0,16155.0,16317.0,17091.0,16344.0,16393.0,16899.0,16941.0,17494.0,16676.0,17664.0,18010.0,18175.0,18352.0,17283.0,16951.0,17017.0,15940.0,18002.0,17766.0,17080.0,16352.0,18560.0,18850.0,19514.0,18912.0,17993.0,17895.0,18642.0,17369.0,17614.0,16637.0,17672.0,17289.0,16691.0,17108.0,17772.0,16685.0,18972.0,17694.0,17689.0,17740.0,29667.0,17875.0,17152.0,16715.0,16506.0,17303.0
南宁,9642.0,9144.0,9605.0,10931.0,10398.0,10059.0,10497.0,11584.0,9609.0,9832.0,10292.0,11398.0,10313.0,10272.0,9990.0,10523.0,10294.0,10210.0,10143.0,10513.0,10539.0,10382.0,10491.0,10735.0,10245.0,10684.0,10336.0,11170.0,10826.0,11116.0,11334.0,11703.0,11929.0,12003.0,11602.0,11543.0,11642.0,11651.0,12146.0,12391.0,12433.0,12296.0,12661.0,12469.0,12668.0,12939.0,11382.0,13061.0,12602.0,13325.0,13407.0,13384.0
南昌,11639.0,11903.0,11856.0,11516.0,11384.0,11162.0,11437.0,11835.0,11624.0,11762.0,11574.0,11740.0,11958.0,12005.0,11803.0,10292.0,11692.0,11066.0,10995.0,11420.0,12163.0,12634.0,12048.0,12564.0,12207.0,11940.0,11642.0,12224.0,11455.0,11596.0,11415.0,11466.0,11484.0,12325.0,12676.0,11159.0,12350.0,12186.0,12120.0,11230.0,11790.0,11921.0,12742.0,11773.0,12386.0,12852.0,11916.0,10812.0,11277.0,13031.0,12854.0,13180.0
南通,10374.0,12009.0,10539.0,9622.0,10784.0,10731.0,11066.0,10076.0,9630.0,8988.0,8885.0,8776.0,7931.0,9049.0,8317.0,9067.0,9203.0,9942.0,9471.0,10214.0,10333.0,9508.0,9951.0,10061.0,9627.0,9579.0,10238.0,10594.0,10668.0,10443.0,11658.0,12296.0,10675.0,12182.0,12000.0,13005.0,12087.0,10467.0,10963.0,11668.0,9513.0,10520.0,11693.0,12934.0,12275.0,12642.0,13689.0,13053.0,10606.0,16198.0,13049.0,10996.0
