city_name,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4
上海,100.0,99.37,109.63,102.76,97.87,106.88,105.27,102.42,107.26,110.03,125.02,135.97,130.94,129.68,126.52,126.43,141.85,142.17,140.24,131.18,136.38,145.92,142.57,151.18,153.13,153.77,157.31,156.76,162.36,157.32,152.06,153.13,152.64,155.72,154.74,155.24
东莞,,,,,100.0,101.27,106.43,91.47,95.41,103.47,105.1,115.01,108.83,127.82,113.1,121.87,128.9,127.62,127.99,146.08,142.5,130.81,151.66,140.3,137.59,123.59,113.27,147.47,144.89,142.99,143.12,153.65,167.75,161.71,186.36,197.58
临沂,,,,,,,,,100.0,104.52,102.18,122.57,110.04,114.06,107.2,117.88,125.26,112.19,126.85,120.78,120.49,120.63,113.49,109.33,107.8,111.16,114.0,128.82,133.28,132.77,138.19,142.94,135.13,133.5,149.5,155.6
乌鲁木齐,,,,,,,,,100.0,128.25,137.98,147.18,146.18,145.85,164.33,190.75,181.93,192.24,171.92,169.31,190.51,169.85,179.91,168.13,189.24,172.12,169.75,174.2,175.91,158.76,200.61,191.99,183.07,172.93,188.15,190.41
佛山,,,,,100.0,107.42,115.9,117.11,125.51,131.94,138.16,136.14,142.86,137.65,137.3,122.89,131.63,138.38,136.43,157.12,152.86,149.14,149.56,132.07,148.9,143.36,132.55,134.87,136.22,134.28,141.85,138.93,140.63,165.66,170.78,181.68
兰州,,,,,,,,,100.0,96.7,98.12,111.7,108.17,123.58,122.12,121.58,125.88,131.01,141.8,141.56,158.54,178.29,146.32,142.73,160.67,158.95,145.73,167.27,170.29,171.93,180.55,207.25,219.85,222.18,222.39,223.44
北京,100.0,110.53,124.44,131.67,126.37,173.61,157.45,151.12,126.37,174.76,195.39,212.62,217.37,242.25,281.74,276.63,276.57,287.6,275.63,262.35,270.8,286.58,286.98,297.1,297.29,305.18,301.76,302.62,306.59,299.69,297.96,294.4,297.11,297.69,302.98,292.24
南京,,,,,100.0,107.03,110.96,119.74,124.84,129.09,131.15,132.61,132.9,134.02,138.44,141.25,140.38,145.9,149.66,150.34,158.14,159.88,157.58,170.29,174.39,179.35,182.01,182.82,181.54,178.36,187.01,185.57,188.83,206.66,196.37,186.05
南宁,,,,,100.0,116.98,120.34,130.72,138.66,141.74,132.47,146.91,142.97,151.0,144.69,147.41,141.18,155.05,156.23,175.39,192.41,180.45,181.26,174.58,164.88,164.8,149.68,155.62,144.69,142.88,152.36,155.15,153.49,162.56,171.72,172.92
南昌,,,,,100.0,115.23,119.49,113.05,121.71,128.47,138.2,134.13,132.7,138.97,134.36,160.28,171.15,195.9,192.88,200.9,197.08,203.02,193.79,202.02,201.52,200.77,200.29,196.86,197.39,196.17,205.26,211.51,201.49,198.71,194.1,202.62
