city_name,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4
上海,100.0,101.5,101.04,115.01,148.07,153.69,158.87,137.8,157.11,169.93,256.93,262.22,269.59,264.23,275.44,250.78,270.51,255.13,245.8,250.42,246.08,249.38,274.07,277.58,266.2,278.76,306.03,308.63,341.49,361.47,377.2,386.57,391.46,374.71,439.88,451.93
东莞,,,,,100.0,91.08,81.32,90.48,96.01,112.24,128.86,187.55,194.47,178.53,178.82,201.28,218.14,208.25,164.33,168.08,169.66,208.64,224.9,218.34,211.46,204.94,168.32,187.32,178.15,157.74,137.61,172.16,151.04,163.94,193.37,199.61
东营,,,,,,,,,100.0,77.12,78.73,95.83,97.82,95.31,97.91,104.8,113.74,118.53,129.42,129.13,128.16,141.53,138.66,125.36,119.39,116.71,124.53,125.95,125.9,114.81,118.39,136.24,126.11,138.73,148.67,162.61
中山,,,,,100.0,136.52,136.69,206.83,215.43,248.56,245.4,262.25,261.12,285.81,306.55,283.56,323.52,367.4,335.59,323.98,309.42,353.64,342.56,353.09,358.52,307.01,285.15,343.6,333.46,353.79,338.48,319.73,301.46,351.31,354.93,369.82
临沂,,,,,,,,,100.0,106.38,114.7,120.79,129.49,126.19,130.69,142.31,168.0,138.71,176.26,181.04,176.45,221.43,201.79,181.1,161.75,184.27,193.53,208.99,195.77,193.37,181.33,202.43,181.9,211.62,199.36,239.7
乌鲁木齐,,,,,,,,,100.0,96.18,99.01,100.33,115.42,115.07,115.25,121.23,139.31,163.37,175.48,179.55,167.45,167.91,156.73,113.53,129.13,114.97,126.74,127.44,123.44,113.28,145.39,152.97,134.57,132.86,131.59,143.35
九江,,,,,100.0,93.5,96.06,119.99,154.57,159.63,156.63,190.11,196.27,186.57,188.38,208.48,201.07,247.44,282.12,282.42,293.76,321.99,285.08,271.93,201.13,182.86,192.78,214.51,205.73,207.21,214.48,193.58,211.21,222.55,223.67,211.86
佛山,,,,,100.0,127.22,144.4,152.96,163.98,165.9,176.95,223.59,208.29,214.74,187.63,236.53,249.8,262.58,264.12,186.94,230.45,232.27,246.82,182.08,206.59,192.1,165.72,177.16,164.18,173.63,154.57,155.15,172.72,217.67,236.04,226.6
保定,,,,,,,,,100.0,117.13,123.97,142.56,128.61,132.09,128.66,157.41,152.71,165.19,151.24,139.4,172.64,179.17,164.42,163.35,156.11,162.31,172.32,179.75,182.54,202.79,192.89,198.59,214.53,240.4,243.22,253.56
兰州,,,,,,,,,100.0,93.53,85.9,102.43,102.5,130.55,100.04,139.0,139.4,192.62,177.91,172.75,159.12,211.14,188.61,111.78,85.92,86.16,95.65,158.12,155.7,166.67,140.33,187.74,194.25,212.42,168.58,186.84
包头,,,,,,,,,100.0,141.59,137.56,169.95,176.13,162.55,168.2,169.19,185.4,222.63,191.73,206.23,168.13,184.65,171.55,122.29,139.92,120.95,113.37,120.22,109.89,112.99,137.99,147.14,144.36,154.7,179.77,169.49
北京,100.0,109.05,131.65,159.21,179.69,211.08,223.69,235.73,252.9,274.58,303.82,354.46,390.16,370.57,448.06,428.72,425.76,402.0,437.67,457.8,493.81,473.06,494.2,463.31,450.53,417.62,419.23,428.66,454.33,470.56,500.27,533.13,565.54,514.82,611.98,625.53
南京,,,,,100.0,111.06,119.24,123.72,115.47,115.36,136.11,135.4,148.57,158.96,143.53,145.96,171.34,168.07,177.89,183.08,167.76,173.15,189.03,172.57,155.64,156.57,161.96,161.3,166.03,178.33,188.32,207.69,231.08,228.78,260.8,261.95
南充,,,,,,,,,100.0,112.42,102.98,113.13,119.04,121.28,119.01,127.13,143.75,165.56,172.78,172.27,179.02,179.17,186.36,146.94,152.62,128.42,109.2,120.52,169.44,125.17,144.92,139.95,129.46,136.61,130.64,142.37
南宁,100.0,141.08,188.22,204.6,250.44,338.49,330.49,343.84,378.0,360.33,323.07,442.01,420.35,404.67,452.6,533.34,487.06,489.57,487.75,519.73,523.18,540.58,508.31,458.34,395.95,368.29,404.7,392.28,347.67,349.17,341.59,337.18,348.79,399.91,365.76,387.03
南昌,100.0,87.84,97.31,107.17,110.44,142.37,135.4,145.85,152.37,158.93,176.1,170.73,186.62,178.97,161.15,179.05,202.02,216.5,255.56,179.21,205.5,259.62,254.02,223.29,226.13,224.06,196.9,204.06,233.68,232.77,224.87,263.56,244.65,231.16,228.67,244.63
南通,,,,,100.0,85.67,90.69,79.94,84.33,97.99,102.76,112.29,110.28,115.69,103.53,115.52,115.8,116.11,112.16,112.29,122.11,139.64,149.32,135.33,132.09,134.71,145.37,141.32,135.69,122.83,141.44,142.67,150.14,165.68,176.57,156.27
厦门,,,,,100.0,125.41,111.9,121.78,113.02,111.99,132.95,143.78,150.71,152.98,171.45,180.01,186.3,192.7,191.47,191.38,196.27,205.76,213.56,199.14,196.2,180.42,171.49,175.03,161.53,174.0,187.08,190.3,209.61,227.13,257.18,276.68
台州,,,,,100.0,106.66,96.84,126.46,119.83,129.7,135.69,148.35,128.88,128.86,131.84,146.11,147.66,136.56,181.64,178.86,160.31,155.94,151.6,112.23,114.57,146.78,143.1,144.15,138.0,131.78,138.92,130.15,147.12,145.47,148.42,155.64
合肥,100.0,92.72,99.62,122.93,148.41,189.93,193.06,206.75,181.19,194.26,253.72,290.76,268.71,313.37,300.94,250.23,250.25,281.99,289.44,321.6,332.13,361.44,367.25,287.39,325.31,276.01,286.31,310.57,315.52,332.07,339.52,369.32,350.62,337.96,370.07,373.53
吉林,,,,,100.0,110.61,116.06,131.39,143.0,159.08,174.94,174.4,167.68,186.84,186.83,229.85,263.78,221.62,199.83,239.0,244.48,249.08,249.23,153.93,186.07,201.07,158.96,171.89,196.76,194.13,211.72,234.84,200.88,218.18,222.62,225.47
呼和浩特,,,,,100.0,100.84,114.45,142.34,147.97,154.99,172.83,195.17,172.8,176.76,159.61,196.81,186.24,205.11,174.44,238.13,229.21,265.79,261.94,178.08,222.26,183.21,153.08,186.93,184.38,141.74,191.59,202.92,199.17,228.06,252.64,257.49
哈尔滨,100.0,113.54,132.65,148.16,150.59,170.29,159.3,154.65,166.66,169.96,179.86,197.82,225.08,204.09,200.53,223.92,221.34,225.47,245.66,247.59,281.32,310.77,309.48,258.01,251.53,255.71,231.15,252.24,252.51,244.85,226.62,238.6,247.06,264.31,307.35,310.65
唐山,,,,,100.0,98.49,104.84,111.81,127.71,133.52,120.08,135.51,104.0,111.74,111.27,127.86,123.23,104.6,122.94,100.94,120.48,109.83,159.57,96.12,131.01,108.2,86.45,92.89,106.41,102.01,102.7,119.01,111.79,125.23,135.67,150.01
嘉兴,,,,,100.0,100.55,102.13,105.58,100.87,118.69,111.54,124.22,115.41,118.27,124.61,127.2,124.43,126.78,133.61,151.42,143.07,138.39,151.12,127.78,131.15,132.1,145.74,135.47,123.34,130.97,126.04,132.1,133.72,160.46,174.62,176.65
大连,,,,,100.0,112.21,110.53,115.51,121.71,123.16,138.33,137.5,146.17,140.83,138.84,147.91,155.31,141.05,146.51,155.31,162.7,171.22,166.51,156.54,147.85,147.15,163.03,169.5,165.81,154.48,180.46,171.13,166.6,187.77,205.33,202.09
天津,100.0,128.69,53.04,119.63,157.57,181.6,184.7,195.86,229.56,208.54,262.66,306.16,301.54,238.12,243.94,276.08,290.65,296.59,306.76,392.57,391.71,391.75,418.93,401.73,406.78,349.17,305.88,328.66,346.71,380.01,404.95,432.92,432.88,429.43,490.47,453.56
太原,,,,,100.0,132.04,141.39,135.74,177.77,178.6,158.85,189.93,232.59,214.32,190.48,207.02,239.97,260.27,259.42,324.27,339.73,367.31,341.0,267.41,265.39,295.05,266.12,274.85,265.92,289.11,281.49,296.79,270.65,277.42,364.36,387.58
宁波,,,,,100.0,120.45,113.24,106.58,118.4,121.5,132.75,142.77,139.31,144.6,149.47,140.42,148.8,156.21,140.22,149.2,152.61,158.91,147.23,134.56,134.8,126.88,122.03,124.84,115.04,119.25,117.55,114.63,114.31,121.98,130.63,132.34
安庆,,,,,100.0,100.36,95.12,107.76,123.62,132.25,136.85,144.79,148.98,136.96,147.15,149.33,162.47,160.66,175.25,208.5,202.08,221.25,217.29,200.09,204.93,196.78,180.65,190.78,197.13,207.64,178.44,175.1,179.86,180.65,181.83,160.94
常州,100.0,114.33,177.02,116.39,139.29,136.0,164.37,166.93,179.51,217.12,208.37,242.73,253.52,214.84,223.73,199.84,224.19,226.32,230.7,241.63,225.35,238.11,232.66,197.22,222.86,245.18,213.19,215.13,216.38,218.06,226.37,240.33,240.46,255.37,270.9,275.67
平顶山,,,,,,,,,100.0,99.3,83.45,93.29,104.14,102.04,124.22,177.76,171.97,183.52,159.15,222.92,203.33,199.14,222.11,52.2,108.77,99.25,138.82,136.26,91.75,89.19,113.37,119.21,119.3,136.73,145.39,130.57
广州,100.0,76.66,94.94,85.93,140.0,182.78,165.81,166.73,163.62,199.76,316.59,500.89,461.6,467.76,414.12,510.36,531.78,470.54,480.28,463.08,442.46,422.32,403.68,331.51,355.24,322.27,303.74,305.1,331.03,345.56,327.9,343.26,381.45,345.89,480.46,501.42
徐州,,,,,100.0,125.15,126.85,141.11,155.5,160.45,179.27,196.87,173.82,191.95,155.85,181.25,188.72,188.83,211.95,201.97,209.09,205.95,221.71,164.72,182.93,193.57,229.95,212.7,175.21,179.0,165.09,223.09,219.96,273.29,245.48,240.28
惠州,,,,,,,,,100.0,112.6,117.14,141.83,140.9,132.39,108.53,92.73,105.21,124.95,171.51,146.21,168.61,174.14,145.97,102.11,80.67,98.53,120.45,140.01,140.93,143.33,140.77,169.94,159.04,177.98,194.57,200.15
成都,100.0,92.54,119.43,101.76,137.89,197.19,200.1,225.28,220.29,227.79,274.46,304.51,322.64,313.27,309.28,315.23,383.26,401.01,371.48,374.14,431.63,411.01,410.9,367.68,357.65,307.78,284.14,282.04,291.71,287.35,311.18,317.1,337.93,338.93,365.37,369.09
扬州,100.0,123.98,132.87,154.86,181.94,185.93,203.99,222.47,228.03,237.27,237.3,241.88,241.39,231.11,228.18,248.58,225.04,251.37,267.46,285.03,309.81,309.7,292.76,275.59,270.62,268.25,291.9,295.43,323.19,298.76,299.15,338.54,312.75,323.96,411.15,406.32
无锡,100.0,93.49,127.67,125.76,124.41,146.41,155.25,151.61,154.21,166.57,167.82,187.83,178.5,164.73,174.24,166.39,182.64,155.89,144.36,166.85,181.39,220.55,187.64,188.0,164.9,164.61,175.22,185.58,185.16,185.03,194.04,193.78,190.73,191.6,211.48,226.94
日照,,,,,,,,,100.0,118.65,119.43,127.21,125.82,144.21,141.55,152.03,150.51,169.86,183.36,216.67,195.4,200.37,201.72,158.18,206.09,197.03,219.24,210.08,203.54,184.07,184.23,199.83,193.3,203.1,221.63,210.79
昆明,,,,,100.0,109.9,109.77,138.36,157.68,159.75,176.47,209.84,196.38,201.15,177.77,201.97,204.35,243.28,239.13,230.99,212.0,225.15,216.38,202.53,180.36,171.51,150.46,162.01,161.72,156.14,149.34,144.47,152.5,170.9,181.76,193.14
杭州,100.0,79.59,79.28,127.49,151.85,143.29,153.58,158.61,180.91,177.69,221.87,228.98,232.73,219.35,181.56,205.17,257.56,238.78,221.18,213.08,212.0,199.71,196.63,175.95,179.4,177.79,186.11,181.56,179.67,166.62,167.63,197.87,214.43,212.49,216.82,239.18
桂林,,,,,,,,,100.0,88.59,124.9,138.85,174.71,143.68,121.64,135.26,174.9,167.6,166.57,172.78,162.99,212.98,173.8,165.76,131.29,120.48,105.03,116.71,115.32,105.73,123.17,103.18,105.04,115.34,107.16,101.08
武汉,100.0,99.88,116.05,115.68,136.64,161.64,177.36,186.33,184.26,184.61,220.05,256.25,231.54,212.25,197.08,229.22,267.34,304.5,306.82,297.02,259.37,291.0,285.58,219.16,267.57,244.71,215.49,260.57,296.91,297.89,318.46,346.35,380.8,384.44,397.83,432.56
汕头,100.0,103.93,96.92,99.43,110.86,140.89,139.77,152.82,157.7,147.61,149.65,156.15,186.94,189.87,184.91,210.83,214.37,219.43,228.69,257.34,285.52,274.25,277.6,242.28,253.46,244.05,185.81,209.0,210.9,194.4,178.98,189.88,194.81,237.59,231.29,222.83
江门,100.0,176.67,51.3,122.53,171.01,171.78,145.27,181.71,235.84,212.61,210.01,230.81,246.08,207.75,237.0,247.34,269.0,271.29,261.71,303.76,285.71,348.91,309.94,188.77,283.01,220.8,165.8,190.16,204.69,211.82,178.64,206.4,222.41,242.49,242.05,254.92
沈阳,,,,,100.0,110.98,116.83,124.87,129.22,134.73,152.29,173.76,179.75,170.31,159.3,178.88,183.21,181.16,200.1,188.46,193.99,200.24,212.85,186.22,174.9,152.52,173.06,190.75,185.42,174.97,183.14,181.55,165.9,186.64,218.76,215.51
泉州,,,,,100.0,105.59,122.92,143.96,133.51,146.79,152.34,155.81,168.83,171.21,136.48,153.44,167.46,209.57,208.38,196.06,201.67,211.65,219.43,165.0,167.89,156.74,156.46,163.78,184.63,184.39,162.44,151.91,148.51,183.49,191.02,188.33
泰安,,,,,,,,,100.0,95.97,103.79,100.2,98.3,88.53,93.93,115.49,123.54,105.18,141.79,121.85,124.94,128.05,133.34,92.14,127.65,104.62,114.1,111.28,95.85,99.81,108.35,128.28,118.16,124.46,142.97,150.41
泰州,,,,,100.0,116.09,135.29,136.95,150.25,126.38,170.69,193.09,183.86,167.01,172.28,169.58,169.15,171.7,180.33,190.48,209.05,197.26,240.42,181.78,233.57,229.32,226.04,210.82,211.4,191.55,196.66,204.34,206.44,212.24,251.85,242.66
泸州,,,,,,,,,100.0,129.23,121.56,143.9,157.03,148.79,186.71,186.12,205.09,241.16,224.45,253.75,272.15,241.34,217.62,187.22,243.36,240.01,232.55,226.9,222.01,173.41,216.08,232.53,195.34,221.48,218.23,166.4
洛阳,,,,,,,,,100.0,106.68,89.54,111.84,106.29,95.58,95.54,103.43,156.89,117.23,141.04,166.86,143.52,167.15,206.94,112.98,148.54,106.26,91.97,94.61,86.33,93.25,105.2,114.73,116.38,135.67,150.46,156.98
