city,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
上海,166.28,141.29,164.28,149.77,149.63,150.47,131.09,132.86,129.84,127.58,146.62,173.31,163.03,160.56,173.16,164.48,170.28,151.4,153.99,143.9,149.71,144.3,142.8,140.4,128.7,178.5,148.5,142.5,143.4,154.5,208.2,226.2,201.3,234.6,235.8,227.7,234.3,245.7,244.0,265.0,277.0,274.0,280.0,274.0,274.78,274.88,275.59,270.61,262.59,277.64,257.36,246.9,265.07
东莞,,49.28,47.07,42.63,61.21,42.25,40.35,44.3,41.65,42.88,61.02,63.42,51.92,45.04,45.74,47.63,44.32,35.86,36.77,37.63,37.01,39.6,55.5,42.3,41.1,42.3,39.6,36.0,36.0,38.7,45.6,48.9,38.1,40.2,42.0,43.8,43.8,52.5,54.0,65.0,66.0,67.0,61.0,63.0,63.26,68.62,59.47,68.22,60.1,69.8,86.46,70.77,76.95
东营,,,17.18,17.9,15.61,13.33,15.58,11.1,21.7,14.1,22.18,23.2,36.48,35.95,34.07,35.32,27.69,27.52,23.45,24.98,33.76,26.7,32.1,33.6,32.7,30.6,33.9,37.8,33.9,34.2,37.8,1.15,28.2,33.0,33.9,38.7,41.4,35.7,33.0,38.0,40.0,38.0,39.0,43.0,41.17,49.09,43.15,45.3,40.68,45.72,41.34,42.43,46.96
中山,39.92,42.19,48.51,40.59,41.74,36.57,47.89,42.73,41.01,31.02,47.8,51.81,44.1,38.31,45.71,43.64,40.25,35.32,32.31,42.56,38.38,39.9,33.6,34.2,28.5,33.3,36.9,38.7,35.7,38.1,39.0,1.44,43.8,39.3,46.5,41.4,45.6,42.9,47.0,53.0,52.0,52.0,51.0,56.0,56.92,54.35,59.45,53.94,55.13,60.85,59.6,62.58,60.13
临沂,24.64,17.61,20.79,25.84,20.34,26.01,38.62,17.39,22.84,20.97,30.5,39.5,38.63,37.69,37.86,36.87,38.95,28.44,30.0,31.31,36.3,32.7,24.9,29.4,26.1,20.7,22.5,23.7,25.8,21.6,22.5,22.8,19.2,29.1,28.8,35.4,32.4,41.1,42.0,47.0,43.0,49.0,55.0,37.0,44.38,39.48,49.79,42.16,50.31,53.7,51.56,54.22,52.5
乌鲁木齐,71.08,48.36,66.35,59.88,50.07,48.97,64.67,57.32,44.72,52.75,67.23,61.48,52.07,51.54,73.66,51.86,45.42,26.4,41.09,55.0,36.53,40.2,60.6,44.4,42.3,38.1,51.3,49.2,43.5,36.9,56.7,62.1,66.9,64.5,76.8,78.0,80.1,78.0,75.0,81.0,82.0,64.0,86.0,81.0,106.16,67.23,91.91,60.22,83.88,92.1,82.37,86.31,88.11
九江,17.69,20.87,23.98,16.55,15.5,19.54,20.48,19.99,17.01,17.45,18.02,35.91,33.52,24.41,31.9,23.95,27.76,21.87,26.41,25.25,25.83,31.5,28.8,32.7,31.8,35.4,36.3,30.9,31.2,24.6,22.8,0.8,25.2,28.8,25.8,30.3,31.2,51.9,46.0,46.0,54.0,48.0,50.0,49.0,47.83,57.06,56.44,56.96,48.61,45.59,55.25,53.58,52.15
佛山,50.86,68.47,52.8,47.63,46.26,78.89,40.86,46.06,42.3,38.26,49.04,76.53,55.79,61.41,79.43,61.33,59.59,42.55,54.94,59.09,58.7,59.1,54.9,68.7,54.6,48.9,54.3,51.9,50.4,62.7,71.7,73.2,72.3,72.0,74.7,73.8,76.8,88.2,78.0,86.0,88.0,89.0,86.0,85.0,92.8,97.75,87.27,87.49,80.96,97.14,100.7,80.55,81.63
保定,29.83,22.24,22.55,24.59,24.14,19.8,22.91,18.6,23.3,21.27,40.31,37.1,40.56,45.07,41.71,41.46,43.71,30.32,32.34,32.78,31.65,32.7,34.8,30.3,35.7,37.8,37.2,33.9,31.2,32.4,42.0,1.31,44.4,40.8,45.3,46.8,48.6,43.5,46.0,52.0,54.0,51.0,51.0,44.0,45.73,48.16,45.88,49.79,54.34,54.6,54.49,60.06,54.07
兰州,79.88,83.61,69.04,66.52,63.0,91.05,76.55,59.86,54.58,53.89,79.66,88.05,89.52,80.19,76.26,71.75,69.37,48.9,50.27,56.95,54.01,57.6,88.8,114.9,93.3,78.9,91.8,91.5,74.7,72.3,101.1,103.2,115.8,112.5,120.6,124.2,112.5,112.2,107.0,119.0,120.0,126.0,130.0,108.0,111.53,119.93,129.25,144.19,139.45,138.29,109.98,117.41,124.16
包头,32.93,25.12,23.98,29.64,18.18,20.94,16.9,18.26,18.24,17.71,17.86,24.34,26.19,32.6,36.32,26.63,32.68,18.53,21.51,39.08,34.3,34.5,36.0,36.3,44.7,37.2,39.3,35.1,38.4,32.1,30.3,1.1,32.4,34.5,36.3,33.0,38.7,49.5,50.0,47.0,52.0,51.0,51.0,48.0,48.77,48.75,53.93,49.19,53.65,46.93,49.45,49.74,48.0
