city,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
上海市,35517.0,36248.0,32411.0,32964.0,33562.0,37104.0,35073.0,39861.0,38784.0,39369.0,36347.0,37456.0,41285.0,43779.0,40332.0,40748.0,43247.0,45261.0,43574.0,42792.0,46525.0,43799.0,45450.0,46181.0,48105.0,45440.0,43784.0,41348.0,42963.0,45061.0,48775.0,50388.0,50273.0,50481.0,49991.0,50815.0,51861.0,52019.0,49795.0,51509.0,51596.0,51271.0,53025.0,52842.0,52361.0,51285.0,53607.0,53073.0,51540.0,52035.0,51188.0
东莞市,25699.0,27919.0,21004.0,21782.0,23904.0,23749.0,21327.0,16380.0,19205.0,14164.0,23751.0,24396.0,19835.0,15558.0,20963.0,19002.0,16673.0,16419.0,15187.0,14916.0,14951.0,17486.0,19798.0,19099.0,16987.0,16980.0,15629.0,17668.0,16527.0,18675.0,19726.0,22005.0,19274.0,19866.0,22010.0,21575.0,20344.0,23488.0,23237.0,23802.0,23492.0,23485.0,23916.0,23996.0,25028.0,23547.0,23856.0,23790.0,29512.0,26243.0,25492.0
东营市,7175.0,,6297.0,8145.0,5587.0,,6293.0,7491.0,7124.0,7375.0,6892.0,6773.0,6694.0,7366.0,6836.0,6367.0,6175.0,6039.0,6515.0,6356.0,6037.0,7140.0,7654.0,6449.0,6981.0,6687.0,6287.0,7343.0,6650.0,7315.0,7532.0,,7517.0,7726.0,7927.0,8463.0,8423.0,8234.0,8299.0,9083.0,8990.0,9362.0,9373.0,9651.0,9537.0,9807.0,9676.0,9573.0,9774.0,9950.0,9815.0
中山市,18773.0,18563.0,16834.0,14125.0,17377.0,13376.0,16118.0,13734.0,12637.0,15127.0,18000.0,17662.0,18722.0,14866.0,14890.0,16969.0,17650.0,16287.0,16717.0,16351.0,15188.0,15724.0,14720.0,15131.0,13286.0,13571.0,14830.0,17131.0,15312.0,16727.0,16267.0,,16722.0,16361.0,17313.0,17336.0,17318.0,17147.0,17620.0,18334.0,18247.0,18251.0,18477.0,19106.0,19065.0,17845.0,18907.0,17430.0,19257.0,20123.0,19488.0
临沂市,6662.0,6331.0,8729.0,8217.0,7680.0,9014.0,8588.0,8907.0,8352.0,6947.0,10418.0,9824.0,9831.0,7617.0,7964.0,8849.0,7862.0,8285.0,7508.0,7673.0,8116.0,7973.0,8664.0,9245.0,7857.0,7070.0,7985.0,8592.0,9211.0,8441.0,8167.0,8196.0,8267.0,9383.0,10451.0,9435.0,10515.0,9039.0,10381.0,11001.0,11164.0,12893.0,11391.0,11727.0,12201.0,12490.0,11601.0,12252.0,14161.0,13153.0,14040.0
乌鲁木齐市,13692.0,10539.0,13503.0,12347.0,11414.0,10062.0,12844.0,10066.0,15771.0,11581.0,12895.0,12659.0,10065.0,13767.0,10578.0,10704.0,10568.0,10896.0,13229.0,14831.0,13037.0,13830.0,15804.0,13232.0,12547.0,12079.0,12409.0,11751.0,12585.0,11741.0,12175.0,12039.0,11130.0,12066.0,12195.0,13454.0,13464.0,12864.0,13039.0,13871.0,14714.0,13352.0,12510.0,12752.0,13489.0,13575.0,13612.0,13746.0,12621.0,12391.0,13224.0
九江市,11660.0,11121.0,9867.0,9395.0,11277.0,6853.0,10693.0,7236.0,15132.0,5681.0,13091.0,12757.0,9668.0,11171.0,12094.0,11921.0,11362.0,9988.0,11878.0,11174.0,9691.0,9410.0,9750.0,10954.0,12173.0,9906.0,11122.0,11508.0,11207.0,11252.0,10401.0,,12223.0,11184.0,10674.0,10270.0,9489.0,9770.0,11793.0,12336.0,12120.0,12480.0,12963.0,12302.0,12633.0,12488.0,13192.0,13682.0,13602.0,13270.0,13051.0
佛山市,17194.0,20295.0,21367.0,17867.0,16858.0,18735.0,16194.0,15565.0,14395.0,15421.0,15411.0,18654.0,15493.0,15066.0,14374.0,15912.0,16197.0,14914.0,13196.0,14010.0,13696.0,13465.0,12799.0,14516.0,13342.0,14032.0,16196.0,18990.0,17398.0,19367.0,20117.0,19767.0,19984.0,19017.0,19486.0,18287.0,18362.0,19391.0,18234.0,19651.0,19804.0,19441.0,18273.0,19115.0,19343.0,17945.0,17520.0,17022.0,17806.0,16925.0,16688.0
保定市,11222.0,12930.0,9565.0,11989.0,11936.0,11015.0,12922.0,11820.0,12210.0,11913.0,13164.0,12670.0,12605.0,12036.0,13592.0,14070.0,15255.0,13039.0,13724.0,13166.0,13208.0,13284.0,13670.0,13979.0,13972.0,14842.0,14821.0,16209.0,16122.0,16706.0,16663.0,,16039.0,16959.0,16723.0,17345.0,16774.0,16032.0,16144.0,15831.0,16299.0,15544.0,16034.0,15226.0,15417.0,14563.0,16112.0,15031.0,17593.0,16509.0,17668.0
兰州市,12540.0,11257.0,9097.0,8327.0,9509.0,14636.0,12991.0,11355.0,10076.0,9731.0,21341.0,22640.0,17447.0,15706.0,18578.0,20415.0,20131.0,16226.0,15112.0,16298.0,15060.0,14972.0,22402.0,25162.0,22116.0,19460.0,21286.0,23780.0,22433.0,21274.0,17653.0,17620.0,17799.0,18547.0,20130.0,19031.0,18325.0,17710.0,19170.0,19313.0,15840.0,20179.0,19101.0,21167.0,18964.0,18973.0,20619.0,22981.0,22245.0,23430.0,22469.0
