city_name,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4
上海,100.0,63.99,57.9,73.11,92.42,96.24,98.29,99.46,97.06,95.09,150.12,197.25,218.47,182.83,207.28,220.49,209.51,180.27,188.42,140.82,163.58,197.91,194.62,163.71,167.32,154.67,135.45,146.11,172.57,166.59,153.92,146.98,147.39,139.65,161.86,164.02
东莞,,,,,100.0,105.55,103.98,124.2,135.75,116.39,105.24,126.09,99.99,196.05,151.85,153.93,204.19,203.53,168.96,212.61,174.69,141.1,141.32,117.3,122.86,127.56,111.07,133.98,123.45,108.16,97.57,118.41,103.1,111.21,130.34,133.74
东营,,,,,,,,,100.0,92.73,127.61,65.1,101.0,103.43,135.06,115.34,102.0,91.37,89.9,110.63,103.0,108.24,104.44,83.27,104.0,120.89,123.51,137.94,105.0,91.29,81.25,90.53,82.55,89.48,95.0,102.57
中山,,,,,100.0,101.64,110.33,118.34,110.12,124.76,135.84,116.14,120.25,101.36,114.81,100.74,109.33,110.24,109.7,120.79,110.6,120.61,127.7,104.37,96.5,86.23,92.67,101.6,93.44,84.97,80.66,77.34,72.4,83.8,84.25,87.14
临沂,,,,,,,,,100.0,114.98,119.18,122.41,114.41,238.89,214.2,257.89,173.29,185.27,239.16,260.47,296.36,353.17,204.54,125.4,121.86,133.92,127.65,170.43,218.07,195.91,186.05,168.76,150.34,173.5,162.18,193.17
乌鲁木齐,,,,,,,,,100.0,139.66,122.69,135.92,138.58,142.84,185.25,201.92,204.41,323.91,246.99,293.75,367.97,341.25,326.04,266.73,316.9,257.58,270.35,280.38,289.05,201.62,203.4,230.31,200.27,195.6,190.72,204.14
九江,,,,,100.0,81.39,85.17,70.04,102.97,150.34,143.81,169.05,198.91,179.77,186.37,192.01,132.93,151.17,167.66,341.35,413.93,327.75,208.82,112.22,117.6,94.62,108.35,145.94,167.12,132.09,145.25,173.71,187.69,196.31,196.46,184.61
佛山,,,,,100.0,136.84,148.16,128.51,174.0,201.12,204.0,215.57,181.38,199.19,172.11,184.25,287.59,250.24,241.11,243.26,314.69,261.49,219.16,140.06,153.53,152.6,116.55,153.24,184.8,137.04,154.48,160.21,176.5,220.51,236.54,224.47
保定,,,,,,,,,100.0,150.99,107.69,90.44,135.41,138.72,150.52,181.99,172.29,196.23,190.84,175.52,234.31,225.44,166.05,124.29,110.48,102.05,98.71,150.26,193.39,172.08,147.4,148.8,159.53,177.7,178.81,184.96
兰州,,,,,,,,,100.0,71.43,81.97,98.39,105.46,114.48,138.51,154.55,130.97,154.49,199.57,177.96,182.82,218.18,241.09,175.02,163.68,158.39,137.01,158.81,176.02,134.22,116.97,177.81,181.69,196.6,153.26,166.77
包头,,,,,,,,,100.0,130.82,119.23,148.85,122.96,201.43,196.62,197.52,196.52,207.34,190.03,170.91,177.64,180.87,130.97,79.84,104.78,87.24,70.44,77.73,129.41,95.31,131.31,139.76,135.39,143.54,165.87,154.87
北京,100.0,90.6,99.07,131.56,120.38,151.78,138.81,141.32,152.04,144.07,169.3,190.81,214.68,213.01,246.85,243.68,217.75,236.72,213.93,196.75,253.89,260.1,284.02,225.03,221.03,206.62,201.15,205.12,202.73,201.2,195.16,211.22,222.14,200.18,235.48,238.15
南京,,,,,100.0,125.2,111.36,118.87,109.69,117.52,123.22,162.35,170.65,166.99,163.76,167.62,196.92,177.1,178.47,219.13,233.1,241.75,242.85,196.5,182.01,176.68,169.52,174.98,163.55,141.77,136.6,152.18,167.96,165.06,186.5,185.52
南充,,,,,,,,,100.0,202.46,186.3,202.75,236.47,208.47,247.27,245.95,258.05,388.64,403.01,385.04,386.08,473.13,364.03,208.06,168.24,132.22,145.47,141.1,206.71,160.56,222.78,289.09,265.15,277.72,264.41,286.18
南宁,100.0,99.13,135.5,127.03,138.59,239.89,250.17,172.83,183.98,220.14,190.37,278.35,255.96,328.63,312.04,273.24,220.09,263.22,380.23,499.97,465.58,566.95,561.23,480.37,389.03,328.71,327.43,316.29,272.42,222.13,231.38,261.19,266.08,301.2,270.3,280.73
南昌,100.0,97.03,129.42,86.04,118.55,176.47,108.91,134.54,113.7,120.46,136.64,123.8,80.12,140.12,165.0,187.2,145.6,291.97,266.42,266.85,292.29,338.31,271.82,212.51,214.25,205.4,189.91,198.36,215.53,188.05,199.61,240.53,221.01,207.11,202.71,214.97
南通,,,,,100.0,89.65,85.59,82.0,87.13,97.81,93.51,136.08,118.81,148.14,160.38,159.82,132.51,118.14,140.77,134.43,170.95,158.07,160.53,90.21,103.13,81.99,105.57,105.99,165.97,132.56,130.75,150.73,157.27,172.24,181.88,159.24
厦门,,,,,100.0,110.14,111.55,109.28,95.39,89.37,160.57,187.01,196.61,176.7,142.54,165.76,205.1,170.87,172.82,143.93,155.57,157.18,170.63,124.02,114.14,104.29,88.61,99.25,107.54,96.4,97.0,97.54,106.96,115.45,130.04,139.05
台州,,,,,100.0,141.25,81.67,106.84,96.07,129.92,92.48,115.51,112.45,118.91,104.47,140.43,156.53,141.54,170.77,203.3,196.24,209.34,209.0,114.26,151.75,110.62,119.92,163.29,168.75,151.91,121.93,139.35,156.07,152.97,155.25,161.37
合肥,100.0,89.42,85.88,88.83,88.26,99.53,113.26,95.73,98.26,114.46,119.21,135.43,141.66,151.1,204.47,214.64,189.25,178.46,238.06,163.56,214.73,178.76,202.2,136.15,128.58,122.28,111.51,164.94,185.84,142.76,163.56,175.73,165.61,158.56,171.88,171.75
吉林,,,,,100.0,89.94,93.3,69.18,57.49,69.84,102.91,123.88,129.0,105.75,139.19,135.3,226.7,128.92,91.09,134.72,158.36,175.64,125.16,61.31,59.5,45.28,49.27,71.5,98.96,92.29,97.38,103.24,87.32,93.85,95.15,95.18
呼和浩特,,,,,100.0,85.54,223.4,164.77,203.58,94.7,97.42,119.5,109.22,158.85,163.67,153.26,127.95,150.51,168.68,155.03,208.72,193.28,216.97,117.18,123.32,108.73,103.65,116.35,139.77,113.85,133.27,145.41,140.86,159.52,175.26,176.37
哈尔滨,100.0,190.26,136.01,160.98,138.3,203.25,169.67,156.85,157.24,180.72,167.86,196.02,205.1,211.69,246.62,274.36,247.03,287.49,245.03,318.56,378.26,397.04,306.77,223.14,211.18,219.82,195.02,223.32,256.03,223.9,204.24,242.27,246.78,260.26,297.96,295.74
唐山,,,,,100.0,100.83,83.23,78.15,91.39,89.78,74.91,95.84,86.57,142.68,112.7,111.12,109.2,96.75,108.84,95.66,138.24,135.27,126.76,64.0,70.57,62.45,62.94,61.89,68.68,57.97,67.31,71.17,66.04,73.2,78.69,86.0
嘉兴,,,,,100.0,135.69,127.69,119.3,122.32,160.76,163.31,168.15,140.59,145.0,175.14,164.5,164.77,174.39,184.08,207.39,210.67,219.69,188.52,124.46,136.8,136.28,120.91,182.52,194.89,158.42,183.19,177.8,178.25,211.91,228.53,228.9
大连,,,,,100.0,113.78,106.53,102.62,100.23,110.55,116.03,145.92,142.92,150.28,167.61,171.96,169.92,149.2,162.68,178.43,178.3,164.86,194.26,128.28,122.99,130.75,122.87,132.29,134.75,125.86,136.18,132.69,127.81,142.56,154.02,149.72
天津,100.0,183.61,53.96,106.29,140.17,204.39,165.25,181.69,180.54,160.52,200.64,211.9,194.59,184.18,211.34,204.52,184.64,223.46,251.37,279.36,334.86,328.27,278.96,256.52,246.59,232.22,197.64,230.34,248.67,232.34,254.55,207.11,205.36,202.01,228.76,209.5
太原,,,,,100.0,184.15,157.21,156.62,187.32,216.11,207.42,188.37,182.72,293.38,340.05,347.91,242.07,312.32,316.51,377.65,404.62,468.65,396.4,328.27,292.14,224.95,181.82,194.68,174.19,150.74,220.87,256.82,230.67,233.07,301.81,316.43
宁波,,,,,100.0,156.65,107.78,86.47,92.88,97.48,111.72,114.07,123.12,133.03,144.85,111.44,132.93,158.06,146.71,128.0,157.0,147.72,145.22,102.58,110.43,118.73,106.63,118.8,115.95,106.34,98.1,109.54,108.25,114.64,121.62,121.93
安庆,,,,,100.0,97.67,99.0,84.14,146.36,132.62,95.36,105.02,121.8,101.89,96.14,113.71,120.88,89.82,119.83,109.78,173.66,175.75,109.64,81.81,104.4,86.01,102.89,138.83,135.48,124.69,104.58,110.23,112.44,112.13,112.4,98.84
常州,100.0,99.64,103.67,127.51,86.97,131.1,119.32,132.64,137.86,145.54,158.11,152.3,137.61,175.43,168.26,187.42,134.09,148.6,192.2,188.93,193.91,156.74,151.17,94.63,114.21,121.82,108.27,140.67,175.85,149.53,133.78,140.45,139.24,146.6,154.34,155.88
平顶山,,,,,,,,,100.0,50.12,44.11,51.34,73.12,116.78,131.83,136.67,140.24,135.57,184.99,179.11,253.5,284.29,162.27,59.79,69.56,67.21,62.26,96.01,116.1,91.95,110.84,109.68,107.84,121.97,128.47,113.86
广州,100.0,70.05,47.9,43.92,91.55,131.28,100.32,105.69,85.71,105.82,130.93,189.02,213.88,200.85,204.39,227.09,278.83,238.92,236.39,240.52,237.5,271.32,250.3,187.91,167.49,167.91,171.06,175.23,183.75,200.8,153.66,146.65,160.96,144.26,199.01,206.4
徐州,,,,,100.0,108.26,87.16,112.75,130.65,150.53,158.48,178.25,151.86,150.1,147.5,174.52,152.55,132.6,153.97,164.23,264.34,199.5,170.58,117.39,98.36,79.31,109.77,97.12,81.32,78.19,71.42,131.95,129.11,159.33,142.03,137.65
惠州,,,,,,,,,100.0,135.13,117.98,114.5,74.08,72.98,141.01,115.04,133.98,154.62,132.44,125.66,133.76,137.57,131.68,76.3,46.51,50.09,62.82,95.43,95.68,81.05,64.05,89.84,83.48,92.9,100.81,102.82
成都,100.0,71.98,106.59,89.38,127.97,180.34,143.84,180.07,161.54,186.03,198.16,207.64,202.88,214.5,216.54,247.98,333.74,300.1,304.92,325.01,319.59,315.91,338.35,266.58,245.05,200.25,172.24,182.83,194.21,186.06,185.29,174.88,185.05,184.49,197.43,197.74
扬州,100.0,92.98,84.93,129.73,152.17,171.13,155.37,155.33,145.12,148.6,162.12,194.1,172.52,223.09,209.51,253.39,189.85,204.78,203.98,237.23,237.05,217.97,218.1,109.61,141.5,124.83,145.88,220.7,243.15,241.12,233.94,221.09,201.85,207.0,260.42,254.76
无锡,100.0,130.86,170.12,169.86,177.29,211.39,165.46,159.02,140.46,126.25,132.34,157.86,135.77,210.05,176.29,175.75,168.18,132.55,130.6,201.46,172.75,194.07,166.83,102.8,96.38,84.59,84.38,144.98,158.09,148.8,128.92,138.04,134.62,134.23,146.85,155.97
日照,,,,,,,,,100.0,130.11,198.34,115.28,131.27,207.54,225.4,200.54,191.64,140.31,162.69,155.28,293.92,198.99,180.05,91.17,102.25,113.73,105.39,177.71,200.97,162.54,165.35,189.47,180.89,188.26,203.66,191.69
昆明,,,,,100.0,105.54,111.07,141.09,131.08,154.88,130.18,165.78,150.1,169.69,149.87,146.45,166.24,221.54,209.3,230.2,187.28,217.02,209.79,179.19,124.24,112.97,97.89,148.48,153.34,93.15,84.36,90.32,94.41,104.83,110.06,115.48
杭州,100.0,162.21,106.62,144.45,231.42,238.53,265.92,217.68,288.53,280.45,377.75,459.43,407.18,429.86,315.56,244.9,281.61,411.07,374.24,319.08,335.18,288.89,329.7,249.54,241.93,240.28,245.31,249.06,243.53,228.55,190.34,210.66,225.83,221.96,224.46,245.23
桂林,,,,,,,,,100.0,108.73,92.64,181.07,164.07,418.32,404.99,420.97,518.28,219.02,368.53,416.25,494.38,509.91,424.63,252.19,200.71,154.31,148.55,247.31,300.53,231.33,262.54,275.55,277.83,302.64,279.55,261.15
武汉,100.0,139.62,117.7,79.03,98.61,120.83,116.59,180.51,127.09,112.46,137.58,227.44,189.49,179.42,130.67,180.55,236.19,256.97,263.99,254.13,247.56,245.73,270.48,206.05,196.09,178.48,155.62,170.97,187.03,199.81,174.45,184.12,201.07,201.72,206.83,222.69
汕头,100.0,112.35,122.46,103.35,109.54,120.21,122.6,112.2,127.2,116.39,113.14,111.51,128.44,130.73,134.83,144.27,152.05,145.04,137.62,147.7,153.76,158.39,155.05,136.39,130.64,125.66,117.26,123.21,129.6,120.86,112.72,116.76,118.27,142.73,137.43,130.9
江门,100.0,77.88,78.1,70.57,96.81,132.99,115.18,84.66,84.14,88.88,95.51,93.58,85.28,68.71,90.1,101.72,112.29,119.24,116.07,126.49,126.19,131.4,114.76,74.61,109.25,96.19,70.31,73.22,99.59,89.84,89.68,92.19,98.41,106.5,105.74,110.38
沈阳,,,,,100.0,82.38,74.69,76.4,74.88,70.54,67.41,88.78,108.7,112.65,138.28,123.54,124.51,123.37,114.58,116.83,164.78,165.82,160.4,127.22,112.71,103.58,106.09,112.99,108.79,90.43,79.51,85.91,77.54,86.27,100.1,97.66
泉州,,,,,100.0,103.05,98.16,81.09,85.86,87.87,89.41,75.37,100.11,107.92,87.02,78.81,79.08,117.6,111.47,104.65,81.48,89.8,106.45,70.18,81.68,58.65,56.91,62.43,68.73,51.6,43.11,46.96,45.48,55.83,57.75,56.56
泰安,,,,,,,,,100.0,96.24,88.54,107.11,134.86,111.19,104.19,94.17,112.05,131.57,154.09,166.11,198.24,227.11,180.6,69.82,123.62,65.83,84.69,81.74,76.59,78.68,115.04,132.92,121.15,126.39,144.48,150.81
泰州,,,,,100.0,78.07,95.43,59.62,79.01,111.46,84.74,70.79,47.49,46.21,48.29,60.61,49.14,50.75,58.2,61.5,88.31,110.97,81.31,56.93,65.37,45.16,51.95,53.38,45.83,47.83,53.18,68.31,68.39,69.72,82.32,78.61
泸州,,,,,,,,,100.0,134.11,129.76,173.98,147.37,108.32,120.26,197.91,191.61,249.43,258.43,355.97,354.33,367.11,236.24,185.6,195.45,152.47,146.12,183.3,191.69,171.77,186.28,189.1,157.88,178.07,174.8,132.25
洛阳,,,,,,,,,100.0,97.66,123.69,151.0,160.86,151.65,108.68,195.14,173.37,146.83,179.05,187.45,260.49,281.22,231.96,61.73,142.9,66.06,65.27,67.09,60.04,60.82,123.94,124.07,124.43,143.33,157.2,161.0
济南,100.0,121.25,128.07,117.4,216.03,243.64,226.63,224.7,254.91,264.53,241.84,328.59,323.52,342.88,370.29,356.06,289.32,335.47,351.05,367.3,454.68,464.99,410.4,261.85,277.43,224.49,219.7,313.34,348.96,278.65,297.52,274.73,303.11,384.82,408.77,462.45
济宁,,,,,,,,,100.0,106.71,95.9,122.64,116.78,170.61,150.93,182.06,135.26,142.91,131.5,157.76,209.94,248.97,181.28,86.86,90.55,78.55,87.98,121.68,122.12,118.26,118.06,130.91,127.76,139.73,146.79,152.34
海口,,,,,,,,,100.0,170.19,179.88,174.14,163.28,162.19,183.65,175.0,146.67,166.48,180.0,169.87,243.78,237.91,218.5,131.88,125.19,141.22,95.16,138.73,158.05,149.59,127.95,143.55,160.06,173.99,188.73,204.82
淄博,,,,,,,,,100.0,156.36,152.79,247.64,260.21,321.09,319.81,300.4,183.64,196.9,270.99,269.08,342.34,318.08,260.86,147.96,145.87,133.39,132.66,199.29,154.35,151.85,203.64,184.12,176.21,210.1,220.9,236.34
深圳,100.0,87.64,103.85,107.07,247.6,300.0,247.48,184.51,220.22,219.05,256.6,367.05,317.07,316.36,328.36,375.22,496.74,442.41,448.95,355.0,318.67,343.79,325.84,303.36,351.69,322.02,340.6,365.98,398.31,365.08,386.13,342.87,365.51,338.42,373.19,402.13
温州,,,,,100.0,130.98,83.17,86.71,96.88,119.89,129.77,109.33,99.92,112.56,109.26,104.55,112.05,91.2,79.96,78.47,89.38,76.36,75.68,56.82,55.19,47.09,46.36,52.25,52.59,43.36,45.8,49.41,54.36,47.38,53.82,50.9
湖州,,,,,100.0,169.25,143.86,130.11,166.08,167.43,184.31,202.23,165.61,202.92,187.89,207.69,214.9,212.12,204.99,188.83,233.56,223.87,196.29,160.66,158.09,145.09,165.23,180.08,149.61,181.16,191.98,237.93,230.38,244.32,256.86,274.2
潍坊,,,,,,,,,100.0,111.64,125.89,125.25,128.4,177.93,193.11,176.33,150.91,204.55,156.57,192.86,194.77,222.4,196.18,84.72,85.95,70.54,74.26,80.52,67.89,69.31,112.89,123.08,118.73,123.18,132.28,127.11
烟台,,,,,100.0,71.78,50.12,37.12,43.05,46.22,46.05,51.72,55.42,73.94,83.98,75.73,56.69,54.66,61.68,60.82,87.54,90.85,56.74,38.86,52.46,46.25,40.75,39.78,64.74,57.86,51.75,51.06,46.79,50.14,51.21,62.38
牡丹江,,,,,,,,,100.0,86.88,124.15,116.05,130.87,144.92,121.41,115.98,139.45,149.93,145.49,126.79,236.65,201.81,149.12,72.83,93.12,83.12,88.67,122.14,140.57,136.57,117.02,131.04,113.28,127.95,121.18,126.43
珠海,,,,,100.0,103.09,113.65,119.2,108.17,122.33,121.27,155.48,131.26,133.64,142.98,158.96,144.29,156.61,173.62,185.55,188.75,184.4,177.07,120.83,126.84,127.2,112.73,121.54,103.09,106.78,105.48,131.47,127.77,136.77,148.24,153.92
盐城,,,,,100.0,143.46,112.89,132.89,113.15,115.43,115.68,129.95,124.48,132.56,138.51,141.2,135.54,143.77,125.57,176.83,191.55,213.44,160.44,82.03,113.83,94.59,86.75,130.22,164.23,154.22,122.06,152.08,174.66,180.7,187.22,167.95
石家庄,100.0,30.31,26.97,27.87,38.42,56.26,52.87,57.86,43.9,51.74,40.25,47.6,55.46,64.59,62.32,72.88,53.21,66.02,70.67,86.15,76.02,86.17,69.1,63.19,62.56,51.0,45.27,65.83,63.59,49.08,43.02,47.2,47.55,52.1,56.49,55.82
福州,,,,,100.0,178.78,153.03,112.46,124.85,112.49,226.75,296.54,291.84,274.37,272.32,326.54,355.99,255.5,321.33,355.2,307.2,315.2,405.43,412.74,301.85,276.31,233.81,272.1,247.0,165.1,142.78,210.49,188.04,195.86,220.24,238.73
秦皇岛,,,,,,,,,100.0,144.13,120.6,130.48,144.02,201.82,223.33,216.23,258.84,221.46,172.59,181.5,281.18,249.69,257.04,195.42,157.12,194.68,172.29,200.96,194.8,207.47,184.13,162.96,151.51,181.72,201.08,231.55
绍兴,,,,,,,,,100.0,55.14,55.06,60.8,42.87,61.25,66.62,74.21,75.46,69.6,76.06,81.24,75.54,68.76,75.98,61.75,57.6,64.4,49.36,58.68,78.89,67.88,60.51,59.9,55.32,55.76,57.14,57.76
